Country,Code,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000)","Homicide rate (deaths/100,000)",Political killings and torture (0=low freedom; 1=high freedom),Perceived criminality (1=low; 5=high),"Traffic deaths (deaths/100,000)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (girls/boys),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Participation in online governance (0=low; 1=high),Access to independent media (% of pop.),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000)",Wastewater treatment (0=no treatment; 100=fully treated),Greenhouse gas emissions (CO2 equivalents per GDP),Biome protection (% of biomes),Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no right; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (0=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
Afghanistan,AFG,31.21,37.89,27.06,28.7,53.54,45.52,26.13,26.36,38.53,34.41,11.11,24.18,39.89,37.54,32.08,5.27,23.4,548.77,76.1,57.588,266.28,60.3793,11.737,38.0679,19.4155,89.5,NA,303.316,6.55,0.454451,5,59.6933,31.7411,NA,53.9303,0.56373,1.03134,56.1913,7,0.13725,55.2,13.4046,1263.16,26.649,1.50189,201.358,0,611.079,0.104392,10,0.600794,1.93538,0.205822,2.1019,70.3,0.17,42.3,11,0.021395,8.6,1.03497,1.66218,2.81908,0.28,0.98,0,0
Angola,AGO,36.77,42.18,38.05,30.08,63.26,31.55,36.13,37.78,43.89,29.07,35.47,43.79,54.38,29.36,27.53,9.04,15.3,262.493,91.2,34.064,491.796,40.8303,28.4298,38.1597,56.9515,32,1.7145,122.308,10.49,0.439456,5,28.1568,66.0301,80.9996,26.6794,0.62886,0.566774,52.2003,10.2,0.23529,27.8875,16.3791,511.106,38.449,0.754436,80.9415,0,999.932,5.80383,10,0.461186,2.77998,0.478579,3.73041,51.6,36,25.2,15,12.626999855041504,7.7,1.89549,0.864396,0.874399,NA,5.31,0,0
Albania,ALB,70.85,83.47,79.25,49.84,90.54,92.93,82.84,67.57,90.24,77.93,65.9,82.93,84.39,48.12,48.42,18.44,5.5,12.174,14.4,24.402,18.0408,91.3679,85.8234,97.6767,0.46913,100,4.72439,40.2846,4.3,0.97308,4,9.09459,97.247,99.2562,95.7541,0.92692,2.48639,115.026,60.1,0.52941,93.8333,21.6707,360.432,63.737,2.63152,45.8914,80.73,278.362,16.0583,27,0.774892,3.84872,0.90232,4.355,56.7,7,26.6,36,11.723600387573242,4.7,2.19525,1.57069,2.94746,0.07,12.26,0,0
United Arab Emirates,ARE,74.58,88.43,80.08,55.23,94.55,98.17,97.75,63.25,91.44,92.29,62.54,74.06,54.73,77.99,47,41.18,4.6,8.526,7.9,11.77,42.9767,99.6319,NA,99.9771,0,100,6.60228,1.03786,0.63,0.816607,2,54.0653,NA,99.5224,NA,NA,3.119,185.418,90.4,0.84313,NA,20.3311,416.013,64.541,2.61968,82.3617,96.87,402.673,12.2269,7,0.415513,3.43709,0.578945,3.12522,0.9,7,59.6,70,NA,3.6,1.42074,2.57444,1.38885,0.43,13.18,6,30
Argentina,ARG,74.48,81.86,77.55,64.02,94.05,98.56,75.88,58.96,92.28,79.33,63.36,75.21,84.44,66.03,65.01,40.62,3.6,58.946,12.1,7.322,67.1743,99.632,99.5703,94.8372,0,99.9592,2.56035,3.92565,7.51,0.84114,4,16.429,98.0259,99.8411,107.075,1.05939,2.56006,142.466,64.7,0.54901,93.3333,21.5044,378.725,59.255,2.60945,35.1953,72.13,412.649,7.34165,31,0.897093,3.82664,0.605366,4.7456,20.1,13,81.2,32,65.18119812011719,4.7,2.4381,2.74582,2.86345,0.3,13,19,20
Armenia,ARM,69.66,86.74,73.88,48.35,91.37,96.82,84.65,74.11,89.07,70.22,58.23,77.99,70.86,54,37.72,30.84,4.6,21.118,14.7,21.257,20.1141,98.461,97.2506,91.5014,0,99.989,4.76874,27.6595,1.97,0.818791,3,8.53755,99.7444,92.8093,86.0376,1.05151,3.07496,119.025,54.6228,0.52941,70,20.2314,564.585,60.365,2.85602,68.4242,84.51,397.336,16.9991,16,0.632967,3.11692,0.675168,4.80159,41.9,8,40,35,2.2653000354766846,5.6,1.20808,1.20689,3.15748,0.88,13.1,0,0
Australia,AUS,87.66,94.53,88.7,79.76,98.4,97.96,96.27,85.48,92.26,92.98,84.53,85.04,96.61,87.09,69.17,66.16,2.5,6.089,4,3.117,13.035,99.9598,90.9684,100,NA,100,6.30313,0.216089,1.05,0.935666,2,6.79635,NA,99.9224,158.147,0.86923,3.2127,106.753,84,0.94117,93,25.2421,206.507,80.044,3.22744,8.17685,99.44,670.506,14.2218,40,0.948509,3.88381,0.953285,4.81428,10.8,1,83,79,76.3427963256836,4.1,2.52294,2.50427,3.30415,1.05,14.54,59,50
Austria,AUT,86.5,96.02,89.28,74.2,99.08,99.99,97.67,87.35,95.25,86.04,83.53,92.29,94.62,87.37,65.71,49.09,2.5,3.449,3.7,1.202,6.6028,100,NA,99.9755,0,100,6.5798,0.759103,0.71,0.952302,2,5.64788,NA,NA,100.128,0.96485,3.34897,150.032,80.9958,0.62745,97.2222,24.0447,246.805,78.732,3.81906,21.5272,99.08,208.98,17,37,0.963743,3.50516,0.98591,4.87761,8.5,0,83.5,76,67.58820343017578,4,2.32365,2.71359,2.85122,0.56,13.29,14,40
Burundi,BDI,37.63,41.46,43.62,27.82,48.06,55.79,22.5,39.47,64.15,21.56,35.92,52.84,33.96,38.52,32.21,6.58,NA,395.039,77.9,56.451,666.582,55.8256,32.359,50.4751,3.42293,7,2.08396,186.761,3.97,0.072678,4,32.1181,61.5697,97.0815,45.106,0.90781,0.803855,32.2819,1.38,0.05882,42.4,15.091,548.284,41.805,1.28161,95.072,0,400.575,7.90814,5,0.252977,3.06081,0.253132,1.31355,94.2,10,42.8,21,3.4667000770568848,8.1,1.23778,2.24217,1.61075,0.04,4.23,0,0
Belgium,BEL,86.73,92.77,88.32,79.1,98.62,99.88,95.56,77.01,93.15,87.26,82.01,90.88,96.11,88.3,75.56,56.44,2.5,8.788,4.1,1.191,26.5762,100,100,99.4861,0,100,6.17368,0.348133,1.84,0.94948,3,8.51746,NA,99.0215,163.931,1.13689,3.61813,113.509,85,0.62745,98.25,23.8584,267.352,77.651,3.74898,24.8778,98.08,245.51,17,40,0.978787,3.59396,0.980775,4.78484,10.9,1,90,77,82.04070281982422,4.4,2.90437,3.12162,3.3135,1.17,14.51,14,30
